id,Title,Type,Volumes,releaseData,endData,page_url,image_url,,,,
,Discommunication: Seirei-hen,Manga,3,1999,2000,https://myanimelist.net/manga/5681/Discommunication__Seirei-hen,https://cdn.myanimelist.net/r/100x140/images/manga/2/137589.jpg?s=e7e993a4fafb8ab2fe064ed70f39fdbf,,,,
,Tsuki no Waltz,Manga,1,,,https://myanimelist.net/manga/11683/Tsuki_no_Waltz,https://cdn.myanimelist.net/r/100x140/images/manga/2/17835.jpg?s=f99029f134d9c768400c3ad96dcb50c1,,,,
,Tiger & Dragon: Osananajimi 3-nin no Otawamure Biyori,Manga,4,2022,2023,https://myanimelist.net/manga/144014/Tiger___Dragon__Osananajimi_3-nin_no_Otawamure_Biyori,https://cdn.myanimelist.net/r/100x140/images/manga/3/263459.jpg?s=0f41289b1486f711162755c49a25b1ec,,,,
,Tekken Chinmi,Manga,35,1984,1997,https://myanimelist.net/manga/1100/Tekken_Chinmi,https://cdn.myanimelist.net/r/100x140/images/manga/2/280452.jpg?s=636f2d575f6452e16b1ffddf4c487afb,,,,
,Kiseki no Koibana,Manga,1,,,https://myanimelist.net/manga/10834/Kiseki_no_Koibana,https://cdn.myanimelist.net/r/100x140/images/manga/3/14582.jpg?s=b450b7b923f73d997942a43f1c522bfa,,,,
,I.L,Manga,1,1969,1970,https://myanimelist.net/manga/18167/IL,https://cdn.myanimelist.net/r/100x140/images/manga/3/177205.jpg?s=4bcdf9b5991620c2eceec8abf670d582,,,,
,Erotic Horror,Manga,1,2009,2009,https://myanimelist.net/manga/16797/Erotic_Horror,https://cdn.myanimelist.net/r/100x140/images/manga/1/24880.jpg?s=2e3af1260dc9bd6528fed5a5826754ad,,,,
,Chrome Shelled Regios: Secret Side,Manga,2,2008,2009,https://myanimelist.net/manga/12279/Chrome_Shelled_Regios__Secret_Side,https://cdn.myanimelist.net/r/100x140/images/manga/5/151241.jpg?s=d700b2dba8f756060b9e77fe1910789d,,,,
,Ninja Tensei Shinobi Kill,Manga,3,2018,2019,https://myanimelist.net/manga/116574/Ninja_Tensei_Shinobi_Kill,https://cdn.myanimelist.net/r/100x140/images/manga/2/223650.jpg?s=f97ebdbafd1d6ee93ff3ed499e453a31,,,,
,Kono Negai ga Kanau nara,Manga,1,2007,2009,https://myanimelist.net/manga/19037/Kono_Negai_ga_Kanau_nara,https://cdn.myanimelist.net/r/100x140/images/manga/2/174392.jpg?s=6fc479cfd76e7a6042f682fbbb607345,,,,
,Oto☆Koi,Manga,1,2013,2013,https://myanimelist.net/manga/57081/Oto☆Koi,https://cdn.myanimelist.net/r/100x140/images/manga/3/99111.jpg?s=6acde6f20e817509f58d0b6b2c621579,,,,
,Roll,One-shot,,,,https://myanimelist.net/manga/17902/Roll,https://cdn.myanimelist.net/r/100x140/images/manga/1/27447.jpg?s=4f5274c40ac8b0146fe348d74ab7588b,,,,
,Secrecy,Manga,2,,,https://myanimelist.net/manga/5903/Secrecy,https://cdn.myanimelist.net/r/100x140/images/manga/3/7562.jpg?s=34b436b17c2086c2211f3ac7e1f8f73f,,,,
,Over Drive,Manga,17,2005,2008,https://myanimelist.net/manga/2720/Over_Drive,https://cdn.myanimelist.net/r/100x140/images/manga/3/191761.jpg?s=917db531822444254922410751dfcf4e,,,,
,From a Knight to a Lady,Manhwa,,2021,,https://myanimelist.net/manga/147574/From_a_Knight_to_a_Lady,https://cdn.myanimelist.net/r/100x140/images/manga/2/261789.jpg?s=5704349109135277db992f6b3496bf09,,,,
,Daydream★Nightmare,Manga,2,2011,,https://myanimelist.net/manga/41385/Daydream★Nightmare,https://cdn.myanimelist.net/r/100x140/images/manga/2/72527.jpg?s=1332ebe0a42fa0196fe2abd6cf99fc89,,,,
,One Piece,Manga,,1997,,https://myanimelist.net/manga/13/One_Piece,https://cdn.myanimelist.net/r/100x140/images/manga/2/253146.jpg?s=b7465f50607202245754c4a8ab34be52,,,,
,11th Cat,Manhwa,5,,,https://myanimelist.net/manga/3227/11th_Cat,https://cdn.myanimelist.net/r/100x140/images/manga/5/30204.jpg?s=a490269c564aaf7cb34fb560e7fc72ec,,,,
,Yuudachi Pool,One-shot,,,,https://myanimelist.net/manga/14223/Yuudachi_Pool,https://cdn.myanimelist.net/r/100x140/images/manga/1/20280.jpg?s=27993b28bb2de32db672cceac007de5f,,,,
,Chou Dokyuu Shoujo 4946,Manga,6,2009,2011,https://myanimelist.net/manga/14664/Chou_Dokyuu_Shoujo_4946,https://cdn.myanimelist.net/r/100x140/images/manga/3/65153.jpg?s=7db6feb73a881b41bca625b933cbbee0,,,,
,InuYasha,Manga,56,1996,2008,https://myanimelist.net/manga/676/InuYasha,https://cdn.myanimelist.net/r/100x140/images/manga/3/262295.jpg?s=d71beac1bddb6244f1931d67463d4088,,,,
,Yurikamone,Doujinshi,1,2013,2013,https://myanimelist.net/manga/63779/Yurikamone,https://cdn.myanimelist.net/r/100x140/images/manga/3/110283.jpg?s=e7b3772fdbfdcaaaf297bb4f9c45488b,,,,
,Girls & Panzer,Manga,4,2012,2014,https://myanimelist.net/manga/42223/Girls___Panzer,https://cdn.myanimelist.net/r/100x140/images/manga/3/271627.jpg?s=b7a128365a9dfe5bf655c8085e3d3003,,,,
,Nidome no Yuusha wa Fukushuu no Michi wo Warai Ayumu,Manga,,2018,,https://myanimelist.net/manga/112894/Nidome_no_Yuusha_wa_Fukushuu_no_Michi_wo_Warai_Ayumu,https://cdn.myanimelist.net/r/100x140/images/manga/3/211198.jpg?s=ad3c38651ce6a72e68c805740ca3ed47,,,,
,True Love,Manga,7,2012,2015,https://myanimelist.net/manga/47549/True_Love,https://cdn.myanimelist.net/r/100x140/images/manga/2/138497.jpg?s=ecde1512a5958157458cf0fd3a4cf2e5,,,,
,Himitsu no Juliet,Manga,2,2015,2016,https://myanimelist.net/manga/90696/Himitsu_no_Juliet,https://cdn.myanimelist.net/r/100x140/images/manga/3/174436.jpg?s=3b723f0aa6710ce3b00e10d2aab241f7,,,,
